country,date,CO2_emissions_Mt,Electric_power_consumption_per_capita,GDP_per_capita_current_USD,Population_total,Urban_population_percent,CO2_emissions_per_capita,Energy_efficiency
Afghanistan,2018,7.44,2271.66939388559,491.337221382603,36743039.0,25.495,0.2024873337232666,0.21628905275788937
Afghanistan,2019,7.44,2290.2681069016,496.6025042585,37856121.0,25.754,0.19653360681090384,0.21683160271149698
Afghanistan,2020,7.44,2214.70778976196,510.787063366811,39068979.0,26.026,0.19043241442270606,0.23063406636670164
Africa Eastern and Southern,2018,11.58,568.141298635339,1538.90167917284,243683300.5,35.8933979262181,0.047520695822157906,2.7086601218204747
Africa Eastern and Southern,2019,11.58,548.496602112228,1493.81793829992,243683300.5,36.384272287815,0.047520695822157906,2.7234771055049665
Africa Eastern and Southern,2020,11.58,512.766660655158,1344.10320999294,243683300.5,36.8840344817359,0.047520695822157906,2.621276524249041
Africa Western and Central,2018,11.58,182.920553801684,1720.14027955102,243683300.5,46.7097526162217,0.047520695822157906,9.403756132380483
Africa Western and Central,2019,11.58,188.361690483295,1798.34068458315,243683300.5,47.3226173576126,0.047520695822157906,9.54727407663947
Africa Western and Central,2020,11.58,193.378592547306,1680.03933212698,243683300.5,47.9310209575797,0.047520695822157906,8.687824800027924
Albania,2018,5.56,2276.74247900485,5365.48880180298,2866376.0,60.319,1.9397315634794599,2.356651598185229
Albania,2019,5.56,2297.67384172958,5460.4305086932,2854191.0,61.229,1.9480125892065387,2.376503753284168
Albania,2020,5.56,2354.60026238182,5370.77749956875,2837849.0,62.112,1.9592303889318987,2.280972097631504
Algeria,2018,151.67,1568.47300560981,4577.21029180491,42505035.0,72.629,3.568283145749674,2.9182588896551187
Algeria,2019,151.67,1651.17795668766,4468.45341883656,43294546.0,73.189,3.5032126217468593,2.7062215800170235
Algeria,2020,151.67,1591.97709300405,3743.5419522929,44042091.0,73.733,3.443751115268346,2.3515049109336505
American Samoa,2018,11.58,2271.66939388559,12552.0546868861,50908.0,87.153,227.4691600534297,5.525475987250225
American Samoa,2019,11.58,2290.2681069016,12886.1359517218,50209.0,87.147,230.63594176342886,5.626474871169067
American Samoa,2020,11.58,2214.70778976196,14489.2586563775,49761.0,87.153,232.71236510520288,6.542289110715967
Andorra,2018,0.46,2271.66939388559,42819.7745797624,75162.0,88.062,6.120113887336686,18.849474617660395
Andorra,2019,0.46,2290.2681069016,41257.8045846483,76474.0,87.984,6.015116248659675,18.014399475904206
Andorra,2020,0.46,2214.70778976196,37361.0900666982,77380.0,87.916,5.944688550012923,16.869534770866462
Angola,2018,27.34,370.736573340292,2538.59139143371,31297155.0,65.514,0.8735618301407908,6.84742637760636
Angola,2019,27.34,410.864566288621,2189.85571407618,32375632.0,66.177,0.8444622795317169,5.3298724050539485
Angola,2020,27.34,437.653350565236,1449.92286669308,33451132.0,66.825,0.8173116533096697,3.3129481696426692
Antigua and Barbuda,2018,0.53,2271.66939388559,18273.4270684912,90926.0,24.599,5.828915821657172,8.0440521484666
Antigua and Barbuda,2019,0.53,2290.2681069016,18896.3721832248,91364.0,24.506,5.800971936430104,8.250724937522206
Antigua and Barbuda,2020,0.53,2214.70778976196,15369.6082250401,91846.0,24.433,5.770528928859178,6.939790565640285
Arab World,2018,11.58,2637.60205036402,6668.2167280195,243683300.5,58.0104842292073,0.047520695822157906,2.5281360116850102
Arab World,2019,11.58,2641.14760590442,6638.48541455372,243683300.5,58.2045421060528,0.047520695822157906,2.5134851985224334
Arab World,2020,11.58,2556.5686868903,5722.48099531674,243683300.5,58.4966741305089,0.047520695822157906,2.238344318562909
Argentina,2018,177.41,2971.34364838317,11752.7998922979,44654882.0,91.87,3.972913868633669,3.9553822388376654
Argentina,2019,177.41,2876.71852724712,9955.97478680428,44973465.0,91.991,3.9447705441419734,3.4608790163185215
Argentina,2020,177.41,2827.42739776861,8535.59938004389,45191965.0,92.111,3.925697853589681,3.018857137332735
Armenia,2018,5.55,1938.69989895588,4196.00562301769,2969000.0,63.149,1.8693162681037387,2.164339940017287
Armenia,2019,5.55,2084.05063291139,4597.22887399548,2962500.0,63.219,1.8734177215189873,2.2059103562053166
Armenia,2020,5.55,2114.13135235523,4268.68093304583,2961500.0,63.313,1.8740503123417187,2.0191181254137036
Aruba,2018,11.58,2271.66939388559,30082.1276448186,108908.0,43.411,106.32827707790061,13.24230001327986
Aruba,2019,11.58,2290.2681069016,31096.2050738676,109203.0,43.546,106.04104282849373,13.577539232267549
Aruba,2020,11.58,2214.70778976196,22855.9323200761,108587.0,43.697,106.64259994290292,10.320066794244077
Australia,2018,386.62,9999.89664810579,57196.4220783778,24963258.0,86.012,15.487561759767095,5.719701322034375
Australia,2019,386.62,9988.77987162809,54972.7017885437,25334826.0,86.124,15.260416629662268,5.503445114922089
Australia,2020,386.62,9903.01937896971,51791.540179984,25649248.0,86.241,15.073346399863263,5.229873657520025
Austria,2018,63.18,8396.45084265961,51194.0749841299,8840521.0,58.297,7.146637624637734,6.09710887891222
Austria,2019,63.18,8339.93999945946,49885.9947355204,8879920.0,58.515,7.114928963323994,5.981577174266683
Austria,2020,63.18,8025.46724947246,48716.4098900349,8916864.0,58.748,7.08545066965247,6.0702272373284165
Azerbaijan,2018,32.02,2182.74646367607,4739.7943123408,9939771.0,55.68,3.221402183209251,2.1714818423566613
Azerbaijan,2019,32.02,2243.85125599507,4805.75371765917,10024283.0,56.031,3.1942434187063555,2.1417434443656944
Azerbaijan,2020,32.02,2257.18090568814,4229.91064904503,10093121.0,56.397,3.17245775612915,1.8739794574664235
"Bahamas, The",2018,2.26,2271.66939388559,32642.3353203452,392717.0,83.025,5.754780159758808,14.369315978903042
"Bahamas, The",2019,2.26,2290.2681069016,33640.3369861278,394675.0,83.132,5.726230442769367,14.688383811814193
"Bahamas, The",2020,2.26,2214.70778976196,26178.7537607708,395863.0,83.245,5.709045806251153,11.820409844489927
Bahrain,2018,30.75,12363.38925177532,26324.4066549559,1503091.0,89.287,20.457843204436724,2.1292225067795103
Bahrain,2019,30.75,12363.38925177532,27259.7438599327,1483756.0,89.394,20.724431779888338,2.2048762928028283
Bahrain,2020,30.75,12363.38925177532,24342.8444554718,1472204.0,89.506,20.887050979347972,1.968945890139008
Bangladesh,2018,82.76,471.126089137386,1965.24372731467,163523103.0,36.632,0.5061058558801933,4.171375291300375
Bangladesh,2019,82.76,515.10173042395,2129.79896954606,164913055.0,37.405,0.5018401969449902,4.134715229539507
Bangladesh,2020,82.76,509.945926958218,2248.85078828233,166298024.0,38.177,0.4976607539245325,4.409978920111245
Barbados,2018,1.25,2271.66939388559,20055.915870771,280711.0,31.147,4.452978330026255,8.8287124547055
Barbados,2019,1.25,2290.2681069016,20583.7265786414,281207.0,31.158,4.445124054522114,8.987474661422148
Barbados,2020,1.25,2214.70778976196,18347.1109131055,281698.0,31.191,4.437376197204098,8.284212932252101
