country,date,transport_emissions_Mt,total_emissions_Mt,vehicles_per_1000,ownership_fraction,ev_share_vkt,grid_ef_g_per_kwh,ev_g_per_km,reduction_factor,ev_reduction_Mt,pct_of_total_reduced,GDP_per_capita_current_USD,Urban_population_percent,Fossil_fuel_energy_consumption_percent,Renewable_energy_consumption_percent
United States,2022,1762.24,4981.3,600.0,0.6,0.8333333333333334,660.2750000000001,118.8495,0.33972499999999994,498.89748666666657,10.015407356847943,55666.86673271664,83.084,81.37,10.9
China,2022,917.02,10313.46,400.0,0.4,1.0,700.4,126.07199999999999,0.2996000000000001,274.73919200000006,2.663889635486055,12970.6056414327,63.56,86.72,15.2
India,2022,305.33,2434.52,50.0,0.05,1.0,612.05,110.16899999999998,0.3879500000000001,118.45277350000002,4.865549410150667,2347.44829434623,35.872,74.94,34.9
Brazil,2022,191.66,427.71,150.0,0.15,1.0,432.8,77.904,0.5672,108.709552,25.41664959902738,9281.33334441234,87.555,51.04,46.5
Russian Federation,2022,258.86,1607.55,400.0,0.4,1.0,720.875,129.7575,0.279125,72.2542975,4.4946843021989995,15619.6142578125,75.126,89.45,3.5
France,2022,125.42,309.96,600.0,0.6,0.8333333333333334,422.825,76.10849999999999,0.577175,60.324407083333334,19.461997381382545,41082.8119320747,81.509,49.71,16.2
Canada,2022,192.11,574.4,600.0,0.6,0.8333333333333334,626.8249999999999,112.82849999999998,0.37317500000000015,59.74220770833337,10.40080217763464,55666.86673271664,81.752,76.91,23.8
Indonesia,2022,154.01,583.11,150.0,0.15,1.0,628.85,113.193,0.37115000000000004,57.1608115,9.802749309735727,4730.83484836107,57.934,77.18,20.2
Japan,2022,204.56,1106.15,600.0,0.6,0.8333333333333334,704.825,126.8685,0.295175,50.31749833333334,4.548885624312556,34065.6438962526,91.955,87.31,8.8
Germany,2022,158.3,709.54,600.0,0.6,0.8333333333333334,638.525,114.93449999999999,0.3614750000000001,47.68457708333335,6.720491738779118,49686.1154582583,77.648,78.47,17.6
