country,technology,weight_normalized,cost_trend,five_year_factor
Afghanistan,Solar PV,0.34146341463414637,-0.15,0.44370531249999995
Afghanistan,Wind (Onshore),0.26829268292682934,-0.08,0.6590815232000001
Afghanistan,Wind (Offshore),0.14634146341463417,-0.12,0.5277319168
Afghanistan,Hydro,0.14634146341463417,0.02,1.1040808032
Afghanistan,Other Renewables,0.09756097560975611,-0.1,0.5904900000000001
Albania,Solar PV,0.3452914798206278,-0.15,0.44370531249999995
Albania,Wind (Onshore),0.29596412556053814,-0.08,0.6590815232000001
Albania,Wind (Offshore),0.13452914798206278,-0.12,0.5277319168
Albania,Hydro,0.13452914798206278,0.02,1.1040808032
Albania,Other Renewables,0.08968609865470853,-0.1,0.5904900000000001
Algeria,Solar PV,0.37198067632850246,-0.15,0.44370531249999995
Algeria,Wind (Onshore),0.24154589371980678,-0.08,0.6590815232000001
Algeria,Wind (Offshore),0.14492753623188406,-0.12,0.5277319168
Algeria,Hydro,0.14492753623188406,0.02,1.1040808032
Algeria,Other Renewables,0.09661835748792272,-0.1,0.5904900000000001
Andorra,Solar PV,0.41546762589928055,-0.15,0.44370531249999995
Andorra,Wind (Onshore),0.22482014388489208,-0.08,0.6590815232000001
Andorra,Wind (Offshore),0.13489208633093525,-0.12,0.5277319168
Andorra,Hydro,0.13489208633093525,0.02,1.1040808032
Andorra,Other Renewables,0.08992805755395683,-0.1,0.5904900000000001
Angola,Solar PV,0.3632075471698113,-0.15,0.44370531249999995
Angola,Wind (Onshore),0.25943396226415094,-0.08,0.6590815232000001
Angola,Wind (Offshore),0.14150943396226415,-0.12,0.5277319168
Angola,Hydro,0.14150943396226415,0.02,1.1040808032
Angola,Other Renewables,0.09433962264150944,-0.1,0.5904900000000001
Antigua and Barbuda,Solar PV,0.3652173913043478,-0.15,0.44370531249999995
Antigua and Barbuda,Wind (Onshore),0.28695652173913044,-0.08,0.6590815232000001
Antigua and Barbuda,Wind (Offshore),0.13043478260869565,-0.12,0.5277319168
Antigua and Barbuda,Hydro,0.13043478260869565,0.02,1.1040808032
Antigua and Barbuda,Other Renewables,0.08695652173913045,-0.1,0.5904900000000001
Argentina,Solar PV,0.3548387096774194,-0.15,0.44370531249999995
Argentina,Wind (Onshore),0.2764976958525346,-0.08,0.6590815232000001
Argentina,Wind (Offshore),0.1382488479262673,-0.12,0.5277319168
Argentina,Hydro,0.1382488479262673,0.02,1.1040808032
Argentina,Other Renewables,0.09216589861751152,-0.1,0.5904900000000001
Armenia,Solar PV,0.3452914798206278,-0.15,0.44370531249999995
Armenia,Wind (Onshore),0.29596412556053814,-0.08,0.6590815232000001
Armenia,Wind (Offshore),0.13452914798206278,-0.12,0.5277319168
Armenia,Hydro,0.13452914798206278,0.02,1.1040808032
Armenia,Other Renewables,0.08968609865470853,-0.1,0.5904900000000001
Aruba,Solar PV,0.3835616438356164,-0.15,0.44370531249999995
Aruba,Wind (Onshore),0.25114155251141557,-0.08,0.6590815232000001
Aruba,Wind (Offshore),0.136986301369863,-0.12,0.5277319168
Aruba,Hydro,0.136986301369863,0.02,1.1040808032
Aruba,Other Renewables,0.09132420091324202,-0.1,0.5904900000000001
Australia,Solar PV,0.41546762589928055,-0.15,0.44370531249999995
Australia,Wind (Onshore),0.22482014388489208,-0.08,0.6590815232000001
Australia,Wind (Offshore),0.13489208633093525,-0.12,0.5277319168
Australia,Hydro,0.13489208633093525,0.02,1.1040808032
Australia,Other Renewables,0.08992805755395683,-0.1,0.5904900000000001
Austria,Solar PV,0.3835616438356164,-0.15,0.44370531249999995
Austria,Wind (Onshore),0.25114155251141557,-0.08,0.6590815232000001
Austria,Wind (Offshore),0.136986301369863,-0.12,0.5277319168
Austria,Hydro,0.136986301369863,0.02,1.1040808032
Austria,Other Renewables,0.09132420091324202,-0.1,0.5904900000000001
Azerbaijan,Solar PV,0.324074074074074,-0.15,0.44370531249999995
Azerbaijan,Wind (Onshore),0.3055555555555555,-0.08,0.6590815232000001
Azerbaijan,Wind (Offshore),0.13888888888888887,-0.12,0.5277319168
Azerbaijan,Hydro,0.13888888888888887,0.02,1.1040808032
Azerbaijan,Other Renewables,0.09259259259259259,-0.1,0.5904900000000001
"Bahamas, The",Solar PV,0.41546762589928055,-0.15,0.44370531249999995
"Bahamas, The",Wind (Onshore),0.22482014388489208,-0.08,0.6590815232000001
"Bahamas, The",Wind (Offshore),0.13489208633093525,-0.12,0.5277319168
"Bahamas, The",Hydro,0.13489208633093525,0.02,1.1040808032
"Bahamas, The",Other Renewables,0.08992805755395683,-0.1,0.5904900000000001
Bahrain,Solar PV,0.41546762589928055,-0.15,0.44370531249999995
Bahrain,Wind (Onshore),0.22482014388489208,-0.08,0.6590815232000001
Bahrain,Wind (Offshore),0.13489208633093525,-0.12,0.5277319168
Bahrain,Hydro,0.13489208633093525,0.02,1.1040808032
Bahrain,Other Renewables,0.08992805755395683,-0.1,0.5904900000000001
Bangladesh,Solar PV,0.34146341463414637,-0.15,0.44370531249999995
Bangladesh,Wind (Onshore),0.26829268292682934,-0.08,0.6590815232000001
Bangladesh,Wind (Offshore),0.14634146341463417,-0.12,0.5277319168
Bangladesh,Hydro,0.14634146341463417,0.02,1.1040808032
Bangladesh,Other Renewables,0.09756097560975611,-0.1,0.5904900000000001
Barbados,Solar PV,0.3652173913043478,-0.15,0.44370531249999995
Barbados,Wind (Onshore),0.28695652173913044,-0.08,0.6590815232000001
Barbados,Wind (Offshore),0.13043478260869565,-0.12,0.5277319168
Barbados,Hydro,0.13043478260869565,0.02,1.1040808032
Barbados,Other Renewables,0.08695652173913045,-0.1,0.5904900000000001
Belarus,Solar PV,0.3548387096774194,-0.15,0.44370531249999995
Belarus,Wind (Onshore),0.2764976958525346,-0.08,0.6590815232000001
Belarus,Wind (Offshore),0.1382488479262673,-0.12,0.5277319168
Belarus,Hydro,0.1382488479262673,0.02,1.1040808032
Belarus,Other Renewables,0.09216589861751152,-0.1,0.5904900000000001
Belgium,Solar PV,0.41546762589928055,-0.15,0.44370531249999995
Belgium,Wind (Onshore),0.22482014388489208,-0.08,0.6590815232000001
Belgium,Wind (Offshore),0.13489208633093525,-0.12,0.5277319168
Belgium,Hydro,0.13489208633093525,0.02,1.1040808032
Belgium,Other Renewables,0.08992805755395683,-0.1,0.5904900000000001
Belize,Solar PV,0.324074074074074,-0.15,0.44370531249999995
Belize,Wind (Onshore),0.3055555555555555,-0.08,0.6590815232000001
Belize,Wind (Offshore),0.13888888888888887,-0.12,0.5277319168
Belize,Hydro,0.13888888888888887,0.02,1.1040808032
