country,scenario,renewable_increase_pp,current_renewable_percent,new_renewable_percent,current_emissions_per_capita,baseline_prediction,scenario_prediction,emission_change,emission_change_percent,reduction_probability,success_score,expected_reduction,expected_reduction_percent,investment_efficiency
Afghanistan,Conservative,5,20.0,25.0,0.1833467795852824,0.23101043773203195,0.24412892904641975,0.013118491314387803,5.678743975025502,0.3025,0.75,0.00396834362260231,1.7178200524452143,0.000793668724520462
Afghanistan,Moderate,15,20.0,35.0,0.1833467795852824,0.23101043773203195,0.24412892904641975,0.013118491314387803,5.678743975025502,0.3025,0.75,0.00396834362260231,1.7178200524452143,0.00026455624150682067
Afghanistan,Aggressive,30,20.0,50.0,0.1833467795852824,0.23101043773203195,0.24658574295937832,0.015575305227346375,6.742251726916971,0.3025,0.75,0.004711529831272278,2.0395311473923834,0.0001570509943757426
Albania,Conservative,5,41.9,46.9,2.001663973180583,2.8158870334078254,2.826519892057311,0.010632858649485488,0.3776024578875757,0.265,0.6,0.0028177075421136543,0.10006465134020756,0.0005635415084227309
Albania,Moderate,15,41.9,56.9,2.001663973180583,2.8158870334078254,2.826519892057311,0.010632858649485488,0.3776024578875757,0.265,0.6,0.0028177075421136543,0.10006465134020756,0.00018784716947424363
Albania,Aggressive,30,41.9,71.9,2.001663973180583,2.8158870334078254,2.8269418089410308,0.01105477553320533,0.39258590284521067,0.265,0.6,0.0029295155162994127,0.10403526425398082,9.765051720998043e-05
Algeria,Conservative,5,0.1,5.1,3.3350639369379804,3.7292015596644945,3.1131460665780373,-0.6160554930864572,-16.519769265083166,0.35250000000000004,0.9500000000000001,-0.2171595613129762,-5.823218665941817,0.04343191226259524
Algeria,Moderate,15,0.1,15.1,3.3350639369379804,3.7292015596644945,2.4665831201706365,-1.262618439493858,-33.85760783623216,0.35250000000000004,0.9500000000000001,-0.445072999921585,-11.934806762271839,0.029671533328105668
Algeria,Aggressive,30,0.1,30.1,3.3350639369379804,3.7292015596644945,1.9980754611469904,-1.731126098517504,-46.42082415822138,0.35250000000000004,0.9500000000000001,-0.6102219497274203,-16.36334051577304,0.020340731657580675
Andorra,Conservative,5,18.7,23.7,5.771281600903331,61.16472121677171,61.11691525720919,-0.047805959562516875,-0.07815936803355888,0.24,0.5,-0.01147343029500405,-0.01875824832805413,0.00229468605900081
Andorra,Moderate,15,18.7,33.7,5.771281600903331,61.16472121677171,61.54700960603691,0.3822883892651987,0.6250145208875293,0.24,0.5,0.09174921342364768,0.15000348501300703,0.006116614228243179
Andorra,Aggressive,30,18.7,48.7,5.771281600903331,61.16472121677171,61.48514024290862,0.32041902613691065,0.5238624811209798,0.24,0.5,0.07690056627285856,0.12572699546903515,0.0025633522090952854
Angola,Conservative,5,52.9,57.9,0.7672226112121306,0.6807899562468469,0.6292313158219932,-0.0515586404248537,-7.573355034362332,0.265,0.6000000000000001,-0.01366303971258623,-2.0069390841060177,0.002732607942517246
Angola,Moderate,15,52.9,67.9,0.7672226112121306,0.6807899562468469,0.558220075244606,-0.12256988100224087,-18.004067168963694,0.265,0.6000000000000001,-0.03248101846559383,-4.771077799775378,0.0021654012310395885
Angola,Aggressive,30,52.9,82.9,0.7672226112121306,0.6807899562468469,0.5226011164047322,-0.15818883984211474,-23.23607133016475,0.265,0.6000000000000001,-0.041920042558160404,-6.157558902493658,0.0013973347519386802
Antigua and Barbuda,Conservative,5,0.9,5.9,5.7087462300732446,22.612258714164046,25.132368160525676,2.52010944636163,11.144881536239739,0.24,0.5,0.6048262671267912,2.6747715686975373,0.12096525342535824
Antigua and Barbuda,Moderate,15,0.9,15.9,5.7087462300732446,22.612258714164046,24.602411922467763,1.9901532083037168,8.801213684403447,0.24,0.5,0.477636769992892,2.112291284256827,0.03184245133285947
Antigua and Barbuda,Aggressive,30,0.9,30.9,5.7087462300732446,22.612258714164046,24.53561564984031,1.9233569356762636,8.505815186306426,0.24,0.5,0.46160566456230323,2.0413956447135417,0.015386855485410108
Argentina,Conservative,5,9.2,14.2,3.9070290493919297,4.911431915132995,4.682654720035794,-0.22877719509720063,-4.658054902324869,0.21500000000000002,0.4,-0.04918709694589814,-1.0014818039998468,0.009837419389179628
Argentina,Moderate,15,9.2,24.2,3.9070290493919297,4.911431915132995,4.673603339404155,-0.2378285757288392,-4.84234699448947,0.21500000000000002,0.4,-0.05113314378170043,-1.041104603815236,0.0034088762521133622
Argentina,Aggressive,30,9.2,39.2,3.9070290493919297,4.911431915132995,4.59914016997793,-0.31229174515506486,-6.358466340393287,0.21500000000000002,0.4,-0.06714272520833896,-1.367070263184557,0.002238090840277965
Armenia,Conservative,5,9.1,14.1,1.8691903543041897,2.2073112122528564,1.9751058932805208,-0.23220531897233565,-10.519826913547865,0.22749999999999998,0.44999999999999996,-0.05282671006620636,-2.3932606228321394,0.010565342013241271
Armenia,Moderate,15,9.1,24.1,1.8691903543041897,2.2073112122528564,1.7231463430513063,-0.4841648692015501,-21.93459927689105,0.22749999999999998,0.44999999999999996,-0.11014750774335264,-4.990121335492713,0.0073431671828901755
Armenia,Aggressive,30,9.1,39.1,1.8691903543041897,2.2073112122528564,1.6486177915446563,-0.5586934207082002,-25.311039857310323,0.22749999999999998,0.44999999999999996,-0.12710275321111553,-5.758261567538098,0.004236758440370517
