country,scenario,renewable_increase_pp,current_renewable_percent,new_renewable_percent,current_emissions_per_capita,baseline_prediction,scenario_prediction,emission_change,emission_change_percent,reduction_probability,success_score,expected_reduction,expected_reduction_percent,investment_efficiency,priority_score,priority_score_normalized
Cote d'Ivoire,Moderate,15,58.2,73.2,0.3260404457285444,0.3885343618601478,0.5728984223677515,0.18436406050760368,47.45115969278547,0.29000000000000004,0.7000000000000001,0.05346557754720507,13.760836310907788,0.0035643718364803383,2.826919809813015,1.0
Turkmenistan,Moderate,15,0.1,15.1,9.92089699403598,8.273179968741184,5.289294537960486,-2.983885430780698,-36.06697112905565,0.315,0.8,-0.93992391069592,-11.361095905652531,0.06266159404639467,2.7297286731485615,0.965619422126133
Algeria,Moderate,15,0.1,15.1,3.3350639369379804,3.7292015596644945,2.4665831201706365,-1.262618439493858,-33.85760783623216,0.35250000000000004,0.9500000000000001,-0.445072999921585,-11.934806762271839,0.029671533328105668,2.6969175590964647,0.9540127561223078
Ethiopia,Moderate,15,90.6,95.0,0.1298408308530717,0.2143217033892255,0.29098952787762816,0.07666782448840267,35.77231016551213,0.29,0.7,0.022233669101636773,10.373969947998518,0.001482244606775785,2.13976053925155,0.7569229703028199
"Yemen, Rep.",Moderate,15,3.7,18.7,0.2435714151912587,0.7324756324035449,0.5287158023429804,-0.20375983006056442,-27.81796704853472,0.315,0.8,-0.0641843464690778,-8.762659620288439,0.004278956431271853,1.9356430192846654,0.6847180498596094
Tunisia,Moderate,15,11.6,26.6,2.4737332926050226,2.3892369239442615,1.7177786591282613,-0.6714582648160001,-28.103460903639732,0.29000000000000004,0.7000000000000001,-0.19472289679664007,-8.150003662055525,0.012981526453109338,1.8490139067407192,0.6540737025232496
"Iran, Islamic Rep.",Moderate,15,0.9,15.9,7.029268920064403,6.182432440049773,4.456628682686898,-1.7258037573628746,-27.9146399754104,0.265,0.6,-0.4573379957011618,-7.397379593483756,0.030489199713410787,1.775775157349782,0.628166087762935
Mongolia,Moderate,15,3.0,18.0,6.208958840310937,5.241858303554239,4.017732935741122,-1.2241253678131176,-23.35288931757465,0.315,0.8,-0.38559949086113204,-7.356160135036014,0.02570663272407547,1.7550532008103576,0.6208358633725959
Viet Nam,Moderate,15,24.2,39.2,0.1161709862359953,1.0333169657544539,1.3835858866207909,0.350268920866337,33.897529264952674,0.21500000000000002,0.4,0.07530781798626246,7.2879687919648255,0.005020521199084164,1.6241902080286608,0.5745441389567014
Turks and Caicos Islands,Moderate,15,0.8,15.8,252.5792309202347,226.07445086524044,214.28621907060403,-11.788231794636403,-5.214314023331716,0.30250000000000005,0.7500000000000001,-3.5659401178775125,-1.5773299920578445,0.23772934119183417,1.5932939020131895,0.5636148207962705
Syrian Arab Republic,Moderate,15,1.1,16.1,1.2425333915823726,1.5516705782780622,1.1676701945456422,-0.38400038373241996,-24.74754558783716,0.2775,0.65,-0.10656010648574654,-6.867443900624813,0.007104007099049769,1.562377613490497,0.55267843398566
Iraq,Moderate,15,1.1,16.1,4.269063937957118,3.878297416961041,2.9286931997854913,-0.9496042171755499,-24.485079793587396,0.265,0.6,-0.25164511755152075,-6.488546145300661,0.016776341170101385,1.5295580325596088,0.5410687728919982
Uzbekistan,Moderate,15,1.0,16.0,3.208166930006922,3.3508888548669127,2.6493280305787583,-0.7015608242881544,-20.936559064595365,0.3025,0.75,-0.21222214934716668,-6.333309117040097,0.014148143289811113,1.4936580968701318,0.5283694612366556
Bolivia,Moderate,15,12.8,27.8,1.880409904518896,1.8899697429524764,1.5712003365817748,-0.3187694063707016,-16.866376171330966,0.35250000000000004,0.9500000000000001,-0.11236621574567233,-5.945397600394166,0.007491081049711489,1.3947876010124776,0.493394823641897
Mexico,Moderate,15,13.0,28.0,3.6710096995783097,3.35867393248919,2.615503082308738,-0.7431708501804519,-22.126912737541957,0.2525,0.55,-0.1876506396705641,-5.587045466229344,0.012510042644704273,1.326706293675979,0.46931161226102597
Benin,Moderate,15,54.5,69.5,0.5748754987553691,0.5188463224915457,0.4192435799058788,-0.09960274258566693,-19.196964162213924,0.315,0.8,-0.03137486391448508,-6.047043711097387,0.002091657594299005,1.2822395329126828,0.453581855580649
Cayman Islands,Moderate,15,0.0,15.0,161.75217555279295,143.5691139658614,133.24651260550516,-10.32260136035623,-7.189987508602158,0.24,0.5,-2.477424326485495,-1.725597002064518,0.16516162176569968,1.2693790227116921,0.4490325541974445
Gibraltar,Moderate,15,0.0,15.0,307.9050227339201,271.58450094753397,263.27313421292445,-8.311366734609521,-3.060324394658719,0.3275,0.85,-2.7219726055846185,-1.0022562392507306,0.1814648403723079,1.2188359975999932,0.43115336818861244
"Congo, Rep.",Moderate,15,71.4,86.4,0.5335450722970143,0.6609551719609916,0.5380209335619274,-0.12293423839906426,-18.59948202452671,0.30250000000000005,0.7500000000000001,-0.03718760711571694,-5.626343312419331,0.002479173807714463,1.1974207793801241,0.42357790809047635
Libya,Moderate,15,3.1,18.1,8.15913497111287,7.060688271366311,5.6809797844062935,-1.3797084869600171,-19.540708128345543,0.24,0.5,-0.3311300368704041,-4.68976995080293,0.022075335791360274,1.1897080683799794,0.4208495990053117
Northern Mariana Islands,Moderate,15,0.5,15.5,251.31299101523504,201.76120057346495,191.83364168484192,-9.927558888623025,-4.920449947961238,0.2525,0.55,-2.506708619377314,-1.2424136118602127,0.1671139079584876,1.1844180897769343,0.41897831189462603
Armenia,Moderate,15,9.1,24.1,1.8691903543041897,2.2073112122528564,1.7231463430513063,-0.4841648692015501,-21.93459927689105,0.22749999999999998,0.44999999999999996,-0.11014750774335264,-4.990121335492713,0.0073431671828901755,1.1780371528581268,0.41672110711058596
Kazakhstan,Moderate,15,2.0,17.0,11.003459064262248,9.465508701912894,8.018085549449346,-1.4474231524635481,-15.291551653964852,0.29,0.7,-0.41975271421442895,-4.434549979649807,0.02798351428096193,1.1764325130504825,0.416153478767513
Mauritius,Moderate,15,8.6,23.6,3.2712275340726467,3.2167927426351905,2.5616940085048014,-0.6550987341303891,-20.36496555863694,0.22749999999999998,0.44999999999999996,-0.1490349620146635,-4.633029664589903,0.009935664134310901,1.1188035543492418,0.3957677011090189
Suriname,Moderate,15,14.5,29.5,3.3378051363685963,4.58200959531973,3.8132974480158657,-0.7687121473038641,-16.776746781348102,0.265,0.6,-0.20370871903552398,-4.445837897057247,0.013580581269034933,1.1059963113759137,0.3912372425764243
Ecuador,Moderate,15,18.9,33.9,2.217809045911789,2.03034152676177,1.7305854439744304,-0.2997560827873398,-14.763825634075781,0.3025,0.75,-0.09067621504317028,-4.466057254307923,0.006045081002878019,1.0821233315751113,0.38279236921357446
San Marino,Moderate,15,20.9,35.9,343.06028736483483,285.7176249195554,274.60393278239485,-11.11369213716057,-3.8897467876858003,0.21500000000000002,0.4,-2.3894438094895225,-0.8362955593524469,0.15929625396596817,1.0589515055105398,0.3745955233093731
